,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
118813,12497864,14509978,24000,24000,24000, 36 months,7.90 ,750.97,A,A4,Foreman,10+ years,1,80000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12497864,  Borrower added on 03/17/14 > To help me and my daughter pay off high interest credit cards<br>,credit_card,Credit card refinancing,070xx,NJ,13.31,0,Aug-88,0,57,57,14,2,6972,27.20%,35,f,19766.33,19766.33,5256.79,5256.79,4233.67,1023.12,0,0,0,Oct-14,750.97,Dec-14,Nov-14,0,82,1
118824,12647538,14649688,10000,10000,10000, 36 months,12.99 ,336.9,B,B5,Sales Support,1 year,0,51000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12647538,  Borrower added on 03/17/14 > Consolidate credit cards to a lower interest rate and consolidate some miscellaneous bills<br><br> Borrower added on 03/17/14 > Consolidate credit cards and misc bills<br>,debt_consolidation,Debt consolidation,303xx,GA,27.55,6,Apr-90,0,13,42,15,1,17827,57.90%,37,f,8346.52,8346.52,2358.3,2358.3,1653.48,704.82,0,0,0,Oct-14,336.9,Dec-14,Nov-14,0,17,1
118836,12885860,14908009,4000,4000,4000, 36 months,14.64 ,137.96,C,C3,Outreach Worker,2 years,1,30000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12885860,"  Borrower added on 03/18/14 > I use my car for my employment, and recently have been experiencing a lot of problems. I will use the loan to get all the maintenance on my vehicle.<br>",other,Other,152xx,PA,18.08,0,Apr-99,0,25,101,14,1,1026,25%,17,f,3255.51,3255.51,1103.68,1103.68,744.49,359.19,0,0,0,Nov-14,137.96,Dec-14,Nov-14,0,44,1
118878,13007435,15039621,35000,35000,34950, 60 months,24.08 ,1008.51,F,F2,SR. AUDITOR,4 years,1,90000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13007435,"  Borrower added on 03/17/14 > This loan will be used to pay several outstanding personals loans, a line of credit and credit card debt.<br>",debt_consolidation,Debt consolidation,913xx,CA,9.89,1,Nov-93,2,9,70,14,1,3084,55.10%,26,f,32723.34,32676.59,7059.57,7049.48,2276.66,4782.91,0,0,0,Oct-14,1008.51,Dec-14,Nov-14,0,44,1
118999,12927443,14959637,21000,21000,21000, 60 months,17.57 ,528.37,D,D2,Senior Account Manager,3 years,0,155000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12927443,  Borrower added on 03/17/14 > Home Improvements<br>,home_improvement,Home improvement,532xx,WI,12.39,0,Oct-00,3,72,67,18,2,7097,51.10%,58,w,19139.58,19139.58,4226.96,4226.96,1860.42,2366.54,0,0,0,Nov-14,528.37,Dec-14,Nov-14,0,72,1
119011,12937446,14969642,6500,6500,6500, 36 months,8.90 ,206.4,A,A5,Project Manager,< 1 year,0,125000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12937446,"  Borrower added on 03/17/14 > Credit cards at 24% interest rate, tired of paying for the privilege of using their money....<br>",credit_card,Credit card refinancing,928xx,CA,5.93,1,Feb-05,3,8,113,7,1,6613,81.60%,14,w,5201.12,5201.12,1651.2,1651.2,1298.88,352.32,0,0,0,Nov-14,206.4,Dec-14,Nov-14,0,24,1
119037,12957268,14989455,7000,7000,7000, 36 months,10.99 ,229.14,B,B2,Foreman,7 years,0,73000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12957268,  Borrower added on 03/17/14 > I am looking to consolidate my high interest credit cards which will save me $200 a month and be paid off in 3 years<br>,debt_consolidation,Debt consolidation,140xx,NY,10.49,0,Nov-93,0,27,109,8,1,5333,72.10%,26,w,5636.64,5636.64,1833.12,1833.12,1363.36,469.76,0,0,0,Nov-14,229.14,Dec-14,Nov-14,0,28,1
119306,12947239,14979427,35000,35000,34875, 36 months,12.49 ,1170.71,B,B4,Branch Manager,< 1 year,0,325000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12947239,  Borrower added on 03/17/14 > Would like to consolidate high interest credit cards into one smaller payment<br>,credit_card,Credit card refinancing,180xx,PA,7.7,0,Jul-88,0,48,39,15,1,23394,91.40%,53,f,28308.68,28207.58,9365.68,9332.23,6691.32,2674.36,0,0,0,Nov-14,1170.71,Dec-14,Nov-14,0,48,1
119395,13037187,15069377,12000,12000,12000, 36 months,12.49 ,401.39,B,B4,Lead Medical Technologist,10+ years,0,85000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13037187,  Borrower added on 03/16/14 > Trying to payoff high interest debt quicker so we can meet our goal of buying a bigger home in the next few years. The loan will be used to payoff a couple credit cards and a high interest signature loan.<br>,debt_consolidation,Debt consolidation,820xx,WY,27.81,0,May-98,3,59,67,9,1,597,18.10%,52,w,9705.8,9705.8,3211.12,3211.12,2294.2,916.92,0,0,0,Nov-14,401.39,Dec-14,Nov-14,0,59,1
119424,12906800,14938986,7000,7000,7000, 36 months,15.61 ,244.76,C,C5,Sales specialist,3 years,1,43000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12906800,  Borrower added on 03/16/14 > My loan would to pay all Cred cards and to be free of bills<br>,debt_consolidation,Debt consolidation,330xx,FL,19.9,0,Jan-97,1,49,35,10,2,6537,56.40%,25,f,5712.92,5712.92,1958.08,1958.08,1287.08,671,0,0,0,Nov-14,244.76,Dec-14,Nov-14,0,49,1
119526,13047158,15079350,15000,15000,15000, 60 months,16.59 ,369.49,D,D1,Manager,8 years,0,103000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13047158,"  Borrower added on 03/16/14 > To pay car loan off, and consolidate credit card purchases<br>",debt_consolidation,Debt consolidation,070xx,NJ,3.14,0,Sep-79,0,48,102,13,1,8830,47.20%,24,f,13638.56,13638.56,2955.92,2955.92,1361.44,1594.48,0,0,0,Nov-14,369.49,Dec-14,Nov-14,0,48,1
119554,12926120,14958310,18350,18350,18350, 36 months,12.99 ,618.2,B,B5,communications director,5 years,0,101000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12926120,"  Borrower added on 03/16/14 > To pay off two credit cards, two furniture store cards and a hospital bill<br>",debt_consolidation,Debt consolidation,321xx,FL,10.18,0,Sep-97,0,69,69,11,1,9958,53.80%,41,f,14863.55,14863.55,4945.6,4945.6,3486.45,1459.15,0,0,0,Nov-14,618.2,Dec-14,Nov-14,0,69,1
119636,13016731,15048931,14000,14000,14000, 36 months,15.31 ,487.45,C,C4,delivery driver,10+ years,0,83644.75,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13016731,"  Borrower added on 03/16/14 > I need this loan to consolidate my loans. If I can make one payment, I can pay off my debit in a shorter amount of time.<br>",debt_consolidation,Debt consolidation,722xx,AR,3.53,0,Sep-89,3,38,21,8,4,4837,34.50%,18,f,11416.15,11416.15,3899.6,3899.6,2583.85,1315.75,0,0,0,Nov-14,487.45,Dec-14,Nov-14,0,75,1
119674,12487937,14500067,12000,12000,12000, 36 months,12.49 ,401.39,B,B4,Director of Social Services,10+ years,0,75000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12487937,  Borrower added on 03/16/14 > consolidation of debt<br>,debt_consolidation,Debt consolidation,773xx,TX,16.83,0,Nov-75,1,47,53,14,1,18030,60.10%,33,f,10003.08,10003.08,2809.73,2809.73,1996.92,812.81,0,0,0,Oct-14,401.39,Dec-14,Nov-14,0,47,1
119702,12917052,14949243,15000,15000,15000, 36 months,14.16 ,513.84,C,C2,Registered Nurse,10+ years,0,92000,Source Verified,Mar-14,Default,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12917052,  Borrower added on 03/17/14 > Home improvement.<br><br>  Borrower added on 03/18/14 > Home improvemeny.<br>,home_improvement,Home improvement,450xx,OH,11.36,1,Jul-02,0,12,30,11,1,1175,39.20%,31,f,13977.51,13977.51,1541.52,1541.52,1022.49,519.03,0,0,0,Jul-14,513.84,Dec-14,Nov-14,0,44,1
119729,13026938,15059129,9375,9375,9375, 36 months,14.64 ,323.34,C,C3,Registered Nurse,10+ years,0,120000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13026938,  Borrower added on 03/16/14 > Using proceeds to pay off credit cards and consolidate into  one monthly mayment<br>,debt_consolidation,Debt consolidation,301xx,GA,17.92,0,Jan-04,1,60,57,11,1,1614,35.90%,20,f,7630.13,7630.13,2586.72,2586.72,1744.87,841.85,0,0,0,Nov-14,323.34,Dec-14,Nov-14,0,60,1
119788,12946820,14979014,7400,7400,7400, 36 months,12.99 ,249.3,B,B5,Teacher,10+ years,0,58000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12946820,  Borrower added on 03/18/14 > I am reading Dave Ramsey's book about paying off credit cards and living debt-free. I will use this loan to do just that. I'm excited to cut up credit cards and to take this step to financial freedom!<br>,credit_card,Credit card refinancing,490xx,MI,5.28,1,Oct-94,3,13,52,19,2,6824,38.80%,37,f,5994.03,5994.03,1994.4,1994.4,1405.97,588.43,0,0,0,Nov-14,249.3,Dec-14,Nov-14,0,46,1
119816,12996955,15029133,12600,12600,12600, 36 months,11.99 ,418.45,B,B3,system tech,10+ years,0,60400,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12996955,  Borrower added on 03/16/14 > This is to payoff credit debit also bank loan.<br>,credit_card,Credit card refinancing,306xx,GA,4.81,1,Oct-01,2,20,31,6,3,6090,58%,8,f,10489.7,10489.7,2929.15,2929.15,2110.3,818.85,0,0,0,Oct-14,418.45,Dec-14,Nov-14,0,49,1
119834,13016895,15049098,6000,6000,6000, 36 months,14.16 ,205.54,C,C2,drywall finisher,2 years,0,80000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13016895,"  Borrower added on 03/16/14 > Loan $ is for vehicle repair. My main family/work vehicle needs engine replacement. cost is $5,500<br>",other,Other,083xx,NJ,11.36,0,Jul-06,1,71,73,7,1,4093,48.70%,9,f,4876.5,4876.5,1644.32,1644.32,1123.5,520.82,0,0,0,Nov-14,205.54,Dec-14,Nov-14,0,72,1
119875,12916813,14949003,10000,10000,9975, 36 months,9.67 ,321.13,B,B1,driver,1 year,0,70000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12916813,  Borrower added on 03/15/14 > loan is primary for credit card refinancing<br><br> Borrower added on 03/15/14 > Refinancing credit cards<br>,credit_card,Credit card refinancing,926xx,CA,27.31,0,Jun-87,3,46,41,8,1,4792,59%,44,f,8020.47,8000.42,2569.04,2562.62,1979.53,589.51,0,0,0,Nov-14,321.13,Dec-14,Nov-14,0,80,1
119886,12926774,14958969,8400,8400,8400, 36 months,13.65 ,285.67,C,C1,Customer service/cashier,2 years,1,24000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12926774,  Borrower added on 03/15/14 > To pay-off my credit cards<br>,credit_card,Credit card refinancing,926xx,CA,20.6,1,Mar-86,0,80,77,7,1,7466,49%,33,f,6817.09,6817.09,2285.36,2285.36,1582.91,702.45,0,0,0,Nov-14,285.67,Dec-14,Nov-14,0,5,1
119910,12986335,15018513,5375,5375,5375, 36 months,14.16 ,184.13,C,C2,Cosmetics Associate,1 year,0,40000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12986335,  Borrower added on 03/16/14 > Remodeling.<br><br> Borrower added on 03/16/14 > remodeling<br>,home_improvement,Home improvement,331xx,FL,21.42,0,Jan-97,0,28,34,9,1,11122,55.60%,32,f,4368.52,4368.52,1473.04,1473.04,1006.48,466.56,0,0,0,Nov-14,184.13,Dec-14,Nov-14,0,59,1
120138,12906619,14938805,13600,13600,13600, 36 months,12.99 ,458.18,B,B5,Baker,7 years,1,48000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12906619,"  Borrower added on 03/15/14 > My loan is to consolidate my debt.<br><br> Borrower added on 03/15/14 > since my job is very stable i decide to consolidate my debt through you and my monthly budget will be enough to sustain this loan and make my and my family life easy<br><br> Borrower added on 03/15/14 > The reason I request this loan is to consolidate my debt as soon is possible, since I have an stable job it will be easy for me to repay this loan,according to my monthly budget this loan will be able to put me on track and instead of making several payments I can focused on one payment,thank you...<br>",debt_consolidation,Debt consolidation,329xx,FL,25.75,0,May-95,0,58,75,17,1,5601,40.30%,32,f,11016,11016,3665.44,3665.44,2584,1081.44,0,0,0,Nov-14,458.18,Dec-14,Nov-14,0,58,1
120240,13006606,15038790,7000,7000,7000, 36 months,11.99 ,232.47,B,B3,LAB ASSOCIATE,10+ years,1,45000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13006606,  Borrower added on 03/15/14 > We are consolidating debt and using these funds to pay off high interest rate credit cards<br>,debt_consolidation,Debt consolidation,957xx,CA,22.93,0,Jan-87,1,36,50,9,1,4765,29.10%,45,f,5653.38,5653.38,1859.76,1859.76,1346.62,513.14,0,0,0,Nov-14,232.47,Dec-14,Nov-14,0,36,1
120247,13016614,15048814,6250,6250,6250, 36 months,10.99 ,204.59,B,B2,bus driver,10+ years,1,36900,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13016614,  Borrower added on 03/15/14 > My loan is to lower interest rate and close out some credit cards<br>,credit_card,Credit card refinancing,207xx,MD,30.73,0,Feb-98,0,53,51,14,1,4421,27.50%,45,f,5032.71,5032.71,1636.72,1636.72,1217.29,419.43,0,0,0,Nov-14,204.59,Dec-14,Nov-14,0,58,1
120255,12276354,14268517,17000,17000,17000, 60 months,12.99 ,386.72,B,B5,Data manager,3 years,1,75000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12276354,"  Borrower added on 03/15/14 > Debt consolidation. Mainly to pay off IRS debt, so as not to continue incurring the ridiculous federal fees.<br>",debt_consolidation,Debt consolidation,913xx,CA,13.79,0,Dec-97,0,75,80,13,1,4045,19.90%,22,f,15315.65,15315.65,3093.76,3093.76,1684.35,1409.41,0,0,0,Nov-14,386.72,Dec-14,Nov-14,0,75,1
120373,12385518,14397660,19500,19500,19500, 60 months,18.92 ,504.99,D,D4,SUPERVISOR,5 years,0,60000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12385518,  Borrower added on 03/18/14 > Pay off credit cards so I will only have 1 bill<br>,debt_consolidation,Debt consolidation,460xx,IN,18.7,1,Mar-00,2,6,79,22,1,13419,64.50%,36,f,17829.67,17829.67,4039.92,4039.92,1670.33,2369.59,0,0,0,Nov-14,504.99,Dec-14,Nov-14,0,77,1
120556,12906193,14938379,4500,4500,4500, 36 months,12.99 ,151.61,B,B5,Teacher,10+ years,0,58292,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12906193,  Borrower added on 03/16/14 > In January 2016 I will have completely ended the long journey of totally restoring my credit back to where it should be.  I can see the light and with the increasing positive cash flow it gets easier and easier each and every month.<br>,debt_consolidation,Debt consolidation,960xx,CA,7.06,1,Jun-87,3,3,36,12,1,3066,24.50%,43,f,3644.95,3644.95,1212.88,1212.88,855.05,357.83,0,0,0,Nov-14,151.61,Dec-14,Nov-14,0,3,1
120585,12946180,14978374,16000,16000,15975, 36 months,11.99 ,531.36,B,B3,Lineman,10+ years,1,90000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12946180,  Borrower added on 03/14/14 > Payoff loan on motorcycle and two high interest credit cards<br>,debt_consolidation,Debt consolidation,815xx,CO,11.96,0,Apr-02,0,49,113,6,1,7628,78.60%,15,f,12922.02,12901.83,4250.88,4244.24,3077.98,1172.9,0,0,0,Nov-14,531.36,Dec-14,Nov-14,0,76,1
120798,12445649,14457789,12000,12000,12000, 36 months,13.65 ,408.1,C,C1,Letter carrier,9 years,1,50000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12445649,  Borrower added on 03/14/14 > I intend to pay off high rate loan and high rate credit cards in order to consolidate my debt into one payment.<br>,debt_consolidation,Debt consolidation,786xx,TX,20.62,1,Aug-00,0,16,52,10,2,4156,55.40%,17,f,9738.7,9738.7,3264.8,3264.8,2261.3,1003.5,0,0,0,Nov-14,408.1,Dec-14,Nov-14,0,38,1
120825,12866031,14888169,8400,8400,8400, 36 months,12.49 ,280.98,B,B4,Agent,10+ years,0,90000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12866031,"  Borrower added on 03/14/14 > I want to replace new furniture ,new set of computer , new copy machine , fax,<br>",small_business,Business,953xx,CA,11.68,1,Mar-89,1,15,49,9,1,21121,52.40%,47,f,7002.1,7002.1,1966.86,1966.86,1397.9,568.96,0,0,0,Oct-14,280.98,Dec-14,Nov-14,0,15,1
120862,12995912,15028108,8000,8000,8000, 36 months,14.16 ,274.05,C,C2,National Sales Manager,4 years,0,130000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12995912,  Borrower added on 03/14/14 > Our loan is to consolidate credit card debt.<br>,debt_consolidation,Debt consolidation,160xx,PA,12.67,0,Feb-93,4,51,52,11,1,6452,51.20%,43,w,6502.02,6502.02,2192.4,2192.4,1497.98,694.42,0,0,0,Nov-14,274.05,Dec-14,Nov-14,0,51,1
120907,13026086,15058284,30000,30000,29950, 60 months,18.92 ,776.9,D,D4,Associate Director Health Science Exec,< 1 year,1,185000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13026086,  Borrower added on 03/14/14 > Debt consolidation<br>,debt_consolidation,Debt consolidation,981xx,WA,10.28,0,Oct-98,0,28,81,8,1,6260,55.40%,15,f,27769.39,27723.11,5438.3,5429.24,2230.61,3207.69,0,0,0,Nov-14,776.9,Dec-14,Nov-14,1,45,1
120937,12735680,14757884,12000,12000,11950, 60 months,15.61 ,289.34,C,C5,Patient care coordinator,5 years,1,46000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12735680,  Borrower added on 03/14/14 > I would like to consolidate my high interest credit cards and care credit card<br>,credit_card,Credit card refinancing,852xx,AZ,30.13,1,Feb-91,1,13,77,11,1,9745,55%,32,f,10884.27,10838.92,2314.72,2305.08,1115.73,1198.99,0,0,0,Nov-14,289.34,Dec-14,Nov-14,0,67,1
121001,12935907,14968106,15000,15000,15000, 36 months,9.67 ,481.69,B,B1,Site Manager,10+ years,0,65000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12935907,"  Borrower added on 03/14/14 > I am hoping to get my household credit card debt into one payment, so I can cancel the cards. Thank you for this opportunity.<br>",debt_consolidation,Debt consolidation,145xx,NY,2.29,0,Jan-93,0,64,65,8,1,4427,28.20%,21,w,12030.74,12030.74,3853.52,3853.52,2969.26,884.26,0,0,0,Nov-14,481.69,Dec-14,Nov-14,0,64,1
121119,13045754,15077950,24000,24000,24000, 36 months,12.99 ,808.54,B,B5,Office Administrator,4 years,1,145500,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13045754,  Borrower added on 03/14/14 > To consolidate some credit cards and assist my son who is graduating from college relocate to the Washington DC area where he has accepted a full time job.<br>,credit_card,Credit card refinancing,021xx,MA,2.69,0,Apr-02,1,52,108,9,2,6986,67.80%,34,f,19440.11,19440.11,6468.32,6468.32,4559.89,1908.43,0,0,0,Nov-14,808.54,Dec-14,Nov-14,0,58,1
